Profile;Weekday;Hour;Occupancy;Lighting;Appliances
[EN16798] Office Landscape;True;1;0;0;0
[EN16798] Office Landscape;True;2;0;0;0
[EN16798] Office Landscape;True;3;0;0;0
[EN16798] Office Landscape;True;4;0;0;0
[EN16798] Office Landscape;True;5;0;0;0
[EN16798] Office Landscape;True;6;0;0;0
[EN16798] Office Landscape;True;7;0;0;0
[EN16798] Office Landscape;True;8;0.2;0.2;0.2
[EN16798] Office Landscape;True;9;0.6;0.6;0.6
[EN16798] Office Landscape;True;10;0.6;0.6;0.6
[EN16798] Office Landscape;True;11;0.7;0.7;0.7
[EN16798] Office Landscape;True;12;0.7;0.7;0.7
[EN16798] Office Landscape;True;13;0.4;0.4;0.4
[EN16798] Office Landscape;True;14;0.6;0.6;0.6
[EN16798] Office Landscape;True;15;0.7;0.7;0.7
[EN16798] Office Landscape;True;16;0.7;0.7;0.7
[EN16798] Office Landscape;True;17;0.6;0.6;0.6
[EN16798] Office Landscape;True;18;0.2;0.2;0.2
[EN16798] Office Landscape;True;19;0;0;0
[EN16798] Office Landscape;True;20;0;0;0
[EN16798] Office Landscape;True;21;0;0;0
[EN16798] Office Landscape;True;22;0;0;0
[EN16798] Office Landscape;True;23;0;0;0
[EN16798] Office Landscape;True;24;0;0;0
[EN16798] Office Landscape;False;1;0;0;0
[EN16798] Office Landscape;False;2;0;0;0
[EN16798] Office Landscape;False;3;0;0;0
[EN16798] Office Landscape;False;4;0;0;0
[EN16798] Office Landscape;False;5;0;0;0
[EN16798] Office Landscape;False;6;0;0;0
[EN16798] Office Landscape;False;7;0;0;0
[EN16798] Office Landscape;False;8;0;0;0
[EN16798] Office Landscape;False;9;0;0;0
[EN16798] Office Landscape;False;10;0;0;0
[EN16798] Office Landscape;False;11;0;0;0
[EN16798] Office Landscape;False;12;0;0;0
[EN16798] Office Landscape;False;13;0;0;0
[EN16798] Office Landscape;False;14;0;0;0
[EN16798] Office Landscape;False;15;0;0;0
[EN16798] Office Landscape;False;16;0;0;0
[EN16798] Office Landscape;False;17;0;0;0
[EN16798] Office Landscape;False;18;0;0;0
[EN16798] Office Landscape;False;19;0;0;0
[EN16798] Office Landscape;False;20;0;0;0
[EN16798] Office Landscape;False;21;0;0;0
[EN16798] Office Landscape;False;22;0;0;0
[EN16798] Office Landscape;False;23;0;0;0
[EN16798] Office Landscape;False;24;0;0;0
[EN16798] Residential;True;1;1;0;0.5
[EN16798] Residential;True;2;1;0;0.5
[EN16798] Residential;True;3;1;0;0.5
[EN16798] Residential;True;4;1;0;0.5
[EN16798] Residential;True;5;1;0;0.5
[EN16798] Residential;True;6;1;0;0.5
[EN16798] Residential;True;7;0.5;0.15;0.5
[EN16798] Residential;True;8;0.5;0.15;0.7
[EN16798] Residential;True;9;0.5;0.15;0.7
[EN16798] Residential;True;10;0.1;0.15;0.5
[EN16798] Residential;True;11;0.1;0.05;0.5
[EN16798] Residential;True;12;0.1;0.05;0.6
[EN16798] Residential;True;13;0.1;0.05;0.6
[EN16798] Residential;True;14;0.2;0.05;0.6
[EN16798] Residential;True;15;0.2;0.05;0.6
[EN16798] Residential;True;16;0.2;0.05;0.5
[EN16798] Residential;True;17;0.5;0.2;0.5
[EN16798] Residential;True;18;0.5;0.2;0.7
[EN16798] Residential;True;19;0.5;0.2;0.7
[EN16798] Residential;True;20;0.8;0.2;0.8
[EN16798] Residential;True;21;0.8;0.2;0.8
[EN16798] Residential;True;22;0.8;0.2;0.8
[EN16798] Residential;True;23;1;0.15;0.6
[EN16798] Residential;True;24;1;0.15;0.6
[EN16798] Residential;False;1;1;0;0.5
[EN16798] Residential;False;2;1;0;0.5
[EN16798] Residential;False;3;1;0;0.5
[EN16798] Residential;False;4;1;0;0.5
[EN16798] Residential;False;5;1;0;0.5
[EN16798] Residential;False;6;1;0;0.5
[EN16798] Residential;False;7;0.8;0.15;0.5
[EN16798] Residential;False;8;0.8;0.15;0.7
[EN16798] Residential;False;9;0.8;0.15;0.7
[EN16798] Residential;False;10;0.8;0.15;0.5
[EN16798] Residential;False;11;0.8;0.05;0.5
[EN16798] Residential;False;12;0.8;0.05;0.6
[EN16798] Residential;False;13;0.8;0.05;0.6
[EN16798] Residential;False;14;0.8;0.05;0.6
[EN16798] Residential;False;15;0.8;0.05;0.6
[EN16798] Residential;False;16;0.8;0.05;0.5
[EN16798] Residential;False;17;0.8;0.2;0.5
[EN16798] Residential;False;18;0.8;0.2;0.7
[EN16798] Residential;False;19;0.8;0.2;0.7
[EN16798] Residential;False;20;0.8;0.2;0.8
[EN16798] Residential;False;21;0.8;0.2;0.8
[EN16798] Residential;False;22;0.8;0.2;0.8
[EN16798] Residential;False;23;1;0.15;0.6
[EN16798] Residential;False;24;1;0.15;0.6
[Assembly] Auditorium;True;1;1;0;0.5
[Assembly] Auditorium;True;2;1;0;0.5
[Assembly] Auditorium;True;3;1;0;0.5
[Assembly] Auditorium;True;4;1;0;0.5
[Assembly] Auditorium;True;5;1;0;0.5
[Assembly] Auditorium;True;6;1;0;0.5
