	Electrical energy used	Regeneration energy used	Electrical energy savings	Borefield depth	Borefield depth reduction	Borefield cost reduction	NPV savings	NPV revenue	NPV all sold
Base case	4930464.490068908	0.0	0.0	180.09777780468636	0.0	0.0	0.0	0.0	0.0
15 panels, th 8.5	4929678.429877559	34215.71925727707	786.0601913491264	176.3378700993362	3.759907705350173	15923.209132157985	-56.11997676209926	36375.87694624175	42687.31462128784
30 panels, th 8.5	4928915.787619014	68431.43851455415	1548.702449893579	172.60746023006442	7.49031757462194	31721.494928523916	-121.60646514797006	72751.7538924835	85374.62924257568
45 panels, th 8.5	4928142.0193785485	102647.1577718301	2322.4706903593615	168.93374431058538	11.164033494100977	47279.68184751764	-190.62778807756823	109127.63083872528	128061.94386386382
60 panels, th 8.5	4927386.952799864	136862.8770291083	3077.537269043736	165.3040153944004	14.79376241028595	62651.583807561	-268.3796582524252	145503.507784967	170749.25848515137
75 panels, th 8.5	4926679.624960709	171078.59628638026	3784.8651081984863	161.7077089164195	18.390068888266853	77881.94174181012	-359.9914529577127	181879.3847312083	213436.57310643911
90 panels, th 8.5	4925973.301045201	205294.3155436602	4491.189023707062	158.17790173250646	21.919876072179903	92830.6751656819	-457.5584890884133	218255.26167745056	256123.88772772765
105 panels, th 8.5	4919756.9445362985	239510.03480093656	10707.545532609336	157.7497214391043	22.348056365582067	94644.01870824005	395.1452724186796	254631.13862369233	298811.202349015
120 panels, th 8.5	4900395.245680828	273725.7540582166	30069.244388080202	165.12498425686127	14.972793547825091	63409.78067503926	3530.102616197354	291007.015569934	341498.51697030273
135 panels, th 8.5	4881329.365362925	307941.47331548965	49135.124705982395	173.22669912384643	6.871078680839929	29099.0182133571	6617.33557009685	327382.8925161755	384185.83159159066
150 panels, th 8.5	4862490.427150294	342157.1925727605	67974.06291861366	182.24021640237527	-2.1424385976889084	-9073.227461212527	9669.9792291361	363758.7694624166	426873.14621287823
