	Electrical energy used	Regeneration energy used	Electrical energy savings	Borefield depth	Borefield depth reduction	NPV	Difference to sell all
Base case	4930464.490068908	0.0	0.0	180.09777780468636	0.0	0.0	0.0
80 panels, th 8.5	4926430.930375874	182483.83603880482	4033.559693033807	160.52653327728473	19.571244527401632	536868.0846771199	309202.40669691714
83 panels, th 8.5	4926299.603189886	189326.97989026568	4164.886879022233	159.81908170917248	20.27869609551388	556879.9665119238	320676.82560746424
86 panels, th 8.5	4926159.328839997	196170.12374172275	4305.16122891102	159.11440100205317	20.983376802633188	576883.9610307992	332143.3572020817
89 panels, th 8.5	4926020.841212426	203013.2675931769	4443.648856481537	158.41158701373848	21.686190790947876	596879.2817050132	343601.2149520375
92 panels, th 8.5	4925884.234787619	209856.4114446313	4580.255281289108	157.71065594769576	22.387121856990603	616865.8192861665	355050.28960893425
95 panels, th 8.5	4925768.44173609	216699.55529608353	4696.0483328178525	157.00128647890222	23.096491325784143	636879.1437524916	366526.15115100215
98 panels, th 8.5	4925625.956670738	223542.6991475433	4838.533398170024	156.30961730241242	23.78816050227394	656828.985046866	377938.52952111757
101 panels, th 8.5	4925183.764023574	230385.8429989959	5280.72604533378	155.78313183085024	24.31464597383612	676208.1476109908	388780.22916098585
104 panels, th 8.5	4921110.887243826	237228.98685045374	9353.602825081907	157.25791816826424	22.83985963642212	688673.1182412163	392707.73686695297
107 panels, th 8.5	4917093.395376349	244072.13070191097	13371.094692558981	158.73289198506433	21.36488581962203	701113.479383937	396610.6350854186
110 panels, th 8.5	4913137.453207703	250915.27455336772	17327.036861204542	160.2079214788616	19.889856325824752	713527.1383640273	400486.8311412492
