	Electrical energy used	Regeneration energy used	Electrical energy savings	Borefield depth	Borefield depth reduction	NPV	Difference to sell all
Base case	4930464.490068908	0.0	0.0	180.09777780468636	0.0	0.0	0.0
80 panels, th 8.5	4926430.930375874	182483.83603880482	4033.559693033807	160.52653327728473	19.571244527401632	276499.60660638456	48833.92862618182
83 panels, th 8.5	4926299.603189886	189326.97989026568	4164.886879022233	159.81908170917248	20.27869609551388	286749.33902904077	50546.19812458119
86 panels, th 8.5	4926159.328839997	196170.12374172275	4305.16122891102	159.11440100205317	20.983376802633188	296988.99795597343	52248.394127255946
89 panels, th 8.5	4926020.841212426	203013.2675931769	4443.648856481537	158.41158701373848	21.686190790947876	307220.2089241446	53942.142171168874
92 panels, th 8.5	4925884.234787619	209856.4114446313	4580.255281289108	157.71065594769576	22.387121856990603	317442.88625245396	55627.356575221755
95 panels, th 8.5	4925768.44173609	216699.55529608353	4696.0483328178525	157.00128647890222	23.096491325784143	327697.4613371425	57344.46873565309
98 panels, th 8.5	4925625.956670738	223542.6991475433	4838.533398170024	156.30961730241242	23.78816050227394	337881.46051531774	58991.00498956931
101 panels, th 8.5	4925183.764023574	230385.8429989959	5280.72604533378	155.78313183085024	24.31464597383612	347417.6129746049	59989.69452459994
104 panels, th 8.5	4921110.887243826	237228.98685045374	9353.602825081907	157.25791816826424	22.83985963642212	349108.3558309979	53142.974456734606
107 panels, th 8.5	4917093.395376349	244072.13070191097	13371.094692558981	158.73289198506433	21.36488581962203	350788.597916385	46285.753617866605
110 panels, th 8.5	4913137.453207703	250915.27455336772	17327.036861204542	160.2079214788616	19.889856325824752	352458.09702142497	39417.78979864693
