Regen start,Total elec demand,Regenerator size,TCO,Yearly imbalance
1.0,5815045.835170346,10.972491884385295,2067484.9421337347,-31267.7699494366
2.0,5736994.377152302,9.799349295707081,2043241.412369224,-42149.64862305701
3.0,5672410.9192577,8.738448884774682,2022996.9218182547,-51334.77544339063
4.0,5649527.97850859,8.534493138071056,2014400.238263715,-53267.713090510355
5.0,5550985.764475823,6.7878807432120185,1988760.9515299643,-71351.58361226325
6.0,5532522.879861772,6.6316597219362325,1982622.374157087,-73161.30270823094
7.0,5483408.333294248,5.7865530314982285,1969951.0952345068,-82261.1279113149
8.0,5434877.36271699,4.902303964292603,1958077.0669266807,-92061.89846969975
9.0,5425668.479682631,4.845904833005407,1954907.20291131,-92584.79612562682
10.0,5386400.531228048,4.026285552614003,1945577.6751339405,-101612.28601752162
11.0,5378581.312461348,3.9725810942001125,1943156.7980124035,-102154.06999957102
12.0,5372662.292364535,3.963207095247079,1941219.7248695972,-102169.61624252344
13.0,5338124.274613803,3.164587824251033,1933864.8130002702,-111448.95638158078
14.0,5332456.403777291,3.1309804762482045,1932289.749191157,-111778.51409418862
15.0,5327823.282522277,3.1256799019446686,1930980.0684483924,-111764.69259736525
16.0,5323219.141819901,3.1213414616420616,1929739.3608909072,-111726.42381665291
17.0,5318626.145343449,3.117064033253919,1928560.5535961057,-111673.64075695872
18.0,5289105.404713354,2.3346142989875305,1923337.9299817127,-121359.47028999442
19.0,5285471.599260801,2.321265978001681,1922499.627679417,-121425.68633081786
20.0,5261335.874265539,1.5456702334501446,1918315.6354870554,-131170.830800419
Regen start,Total elec demand,Regenerator size,TCO,Yearly imbalance
1.0,5856934.019239077,11.706613037405225,2078137.0851342555,-24094.954848109865
2.0,5759520.928727642,10.190790375866186,2048696.813044017,-38012.74401468201
3.0,5677197.769342422,8.883548101626056,2024549.8278102877,-50506.31863362271
4.0,5610335.624797538,7.808845356770496,2005382.888529372,-61172.13790708135
5.0,5549221.324613033,6.786714219031538,1988548.7070952652,-71661.52815848295
6.0,5516626.733335239,6.3028004993757145,1979045.4271336352,-76702.4832368977
7.0,5479179.061590929,5.683316974126854,1968956.7687593042,-83299.7260677404
8.0,5451317.461284006,5.239301375281494,1961440.7406502075,-88098.3405535485
9.0,5421271.516448332,4.713975927729489,1953837.952299064,-93887.06529871775
10.0,5413061.405284592,4.675309634835124,1951063.3649660612,-94223.45242760124
11.0,5372898.4134286605,3.8454950626404907,1942088.4908211129,-103705.39392929853
12.0,5357645.265109521,3.590200825221815,1938362.9449076294,-106614.0180345596
13.0,5342246.405448193,3.3128257742300433,1934793.311149045,-109826.0911492539
14.0,5326516.225640147,3.0046032825380125,1931331.6586453517,-113446.0349098519
15.0,5313579.978481567,2.7523454354912653,1928537.1905413987,-116434.98762421493
16.0,5303252.064937019,2.5570387505961767,1926331.3924754935,-118752.5746574296
17.0,5294180.910963737,2.384627536737457,1924444.561604118,-120806.79550103791
18.0,5284750.611811047,2.1831950443485417,1922577.4590069773,-123238.38815096549
19.0,5277614.340522871,2.0420171802272433,1921173.7245751596,-124932.2125747905
