Regen start,Total elec demand,Regenerator size,TCO
1,5967628.807522565,13.471419366609226,2112567.8901362373
2,5806270.628301543,10.743432576646963,2070042.648948021
3,5771350.767060493,10.04935121540596,2059463.0076316725
4,5775472.8297055485,10.263687962529792,2061011.7932475111
5,5778289.196287969,10.37541096941934,2058528.0631400761
6,5775873.146385317,10.390196897409316,2057647.6377668497
7,5730053.751153415,9.523896226867539,2044918.0589659708
8,5697390.4828593945,8.919878063020265,2035847.959458936
9,5709158.352194184,9.22219721356334,2038949.894620173
10,5709585.988024005,9.283586114488433,2036300.1050014957
11,5706978.012727132,9.288541134411844,2035437.8544434565
12,5684193.941062142,8.864706465192928,2029171.6381794938
13,5657307.601793882,8.359325836698448,2021910.3079000567
14,5650291.227319542,8.26868172841402,2019946.422765463
15,5685900.846480374,9.078114236873613,2026879.0245257425
16,5671208.382625939,8.808049440838914,2022817.8141183371
17,5646011.093653224,8.329177552425282,2016212.28223742
18,5595783.086460232,7.423702432583625,2003999.3646087055
19,5633751.362384896,8.17529888863819,2012850.9799148268
20,5633308.06079597,8.216253451418986,2010548.6440055214
21,5630834.160347444,8.21796108664887,2009820.5890120196
22,5585701.844181706,7.394708124219131,1999159.9146153843
23,5541022.883974247,6.52508930995963,1988335.3910392574
24,5534581.294671609,6.446346391836019,1986780.679354523
25,5572497.929712298,7.249754667080762,1993887.2063685325
26,5533763.08839085,6.498875762086501,1984776.5920294435
27,5528448.694461874,6.438961142838914,1983518.1474419385
28,5487389.813970281,5.632647080969032,1973963.3608018635
29,5521518.366690464,6.375290321351056,1981753.0801738831
30,5522603.498542963,6.426925985831421,1980388.9587280075
31,5520399.184277626,6.422863390117396,1979813.8262766104
32,5480245.350639316,5.618861765260837,1970732.6361219743
33,5438436.003327954,4.773063055051123,1961327.2545149042
34,5472659.195785059,5.516148905330018,1968836.8760932907
35,5472624.883059908,5.552381209581673,1967574.237299965
36,5470962.075498876,5.553770938763841,1967151.2225490918
37,5432363.219836087,4.759673389672033,1958709.9560676352
38,5429492.562001823,4.72066648112504,1958002.979302946
39,5427992.061066986,4.714241139811879,1957607.4010290308
40,5426393.695239922,4.710987059012407,1956249.2995443367
41,5424891.7634309605,4.710076084400276,1955887.8012672951
42,5423586.205154761,4.7093390587205715,1955557.6850512188
43,5389740.699572052,3.922484420927055,1948041.2270958335
44,5418582.149253565,4.64747454691165,1954365.421510354
45,5419260.696201055,4.696595399741683,1953562.4313984169
46,5417885.499076493,4.698521503707707,1953244.72842468
47,5384888.217001171,3.914947521834308,1946119.0138665955
48,5381949.70699937,3.8682678518396436,1945463.332804142
49,5380742.600329399,3.8636689604815393,1945174.084523067
50,5394842.081560928,4.247783115106959,1947390.0509907715
51,5379117.674405443,3.8822044327064362,1944081.106529105
52,5377191.595644418,3.8614377430271696,1943663.312139351
53,5376174.418443843,3.859116452935535,1943419.0646168166
54,5375057.168626549,3.856342992188262,1943160.9949241178
55,5373783.7065100735,3.854370389877971,1942207.0562019977
56,5372561.036107687,3.8538203946359433,1941952.8395934205
57,5371491.246800475,3.8533536570626827,1941720.420300038
58,5341057.773191433,3.0814742157543966,1935545.6661315865
59,5367965.794445838,3.813021763570734,1940968.037064395
60,5368071.1839640355,3.845847614616209,1940332.9967030284
61,5366900.699827652,3.8465691453630035,1940100.9992951783
62,5337303.184704464,3.0769204658605527,1934252.3710274994
63,5335457.320819085,3.047715536787742,1933874.7528032553
64,5334553.606940311,3.0451547212525574,1933686.4373355303
65,5361135.056094267,3.8049661077250603,1938320.0438054232
66,5333583.053120212,3.0706032141158914,1933012.3800007915
67,5331779.402005451,3.0442598246879196,1932663.6294135624
68,5330967.81399917,3.042517578255378,1932497.2062121176
69,5330099.823351982,3.040883925686278,1932324.6276011486
70,5329112.29337411,3.039730610489529,1931677.4666206269
71,5328148.3468923075,3.0394116995853353,1931504.6006517278
72,5327292.619935057,3.0391378207082953,1931345.5742268288
73,5326502.747442097,3.0382482763290946,1931191.714093745
74,5325634.575520897,3.036647132995122,1931027.5139066165
75,5324649.519327613,3.0354999557493603,1930412.1370419683
76,5323686.768627374,3.03518353417804,1930247.747137752
77,5322830.086230573,3.0349112750042027,1930096.3872812388
78,5294899.18895823,2.2755208629828907,1925196.5804569689
79,5320782.532686875,3.020552550775274,1929722.3658235818
80,5320172.954536562,3.030938569372319,1929205.9788162173
81,5319222.085116746,3.0309778549696174,1929051.5799472318
82,5318364.767496524,3.0307175865081857,1928907.5485885474
83,5291662.597643399,2.272380516384376,1924323.1919934675
84,5290772.706806987,2.262792896752421,1924167.3885205018
85,5315382.948291704,3.0159004838284065,1928002.8560731274
86,5314756.540177323,3.0264903352285146,1927913.0968719195
87,5288976.102713314,2.269903603155879,1923586.8475237843
88,5288169.262594383,2.2611620913862858,1923448.1419605426
89,5287551.236842413,2.260027636768562,1923345.829864462
90,5286831.369066769,2.259321591868715,1922951.798700501
91,5286121.915470045,2.259129772853327,1922846.960827844
92,5285502.936894179,2.2589600196632755,1922751.892720846
93,5263187.895927988,1.505607723794557,1918918.469457757
94,5283920.35170539,2.243173254464948,1922494.776084077
95,5283599.900356317,2.256161959419187,1922187.923545304
96,5282906.675821556,2.25654266537314,1922090.8286012546
97,5261411.227368331,1.5042560792397932,1918478.171263231
98,5260778.844744019,1.4947775112373058,1918378.3997531033
99,5260373.610555432,1.4942830236944136,1918318.3335066675
100,5259900.970681269,1.4939960922243125,1918082.7316340278
