	Electrical energy used	Regeneration energy used	Electrical energy savings	Borefield depth	Borefield depth reduction	NPV	Difference to sell all
Base case	4930464.490068908	0.0	0.0	180.09777780468636	0.0	0.0	0
Surface 16 m2	4925965.229765867	3.7620744800065524	4499.260303040966	168.6079313186315	11.489846486054859	48877.81847749294	0
Surface 32 m2	4920859.66144069	36.627619012343736	9604.828628217801	157.8791144911964	22.21866331348997	94641.35965283794	0
Surface 48 m2	4915139.462146432	148.4226489537791	15325.02792247571	147.97353363035282	32.12424417433354	137029.64948935484	0
Surface 64 m2	4908963.027059719	411.42743893446357	21501.463009188883	138.9586013526383	41.13917645204805	175724.8335913631	0
Surface 80 m2	4902259.740766094	919.1845723071399	28204.749302813783	130.70021157739188	49.397566227294476	211285.42406095774	0
Surface 96 m2	4890002.51990675	1780.2023500706957	40461.9701621579	126.16714795805858	53.93062984662778	232400.32500896527	0
Surface 112 m2	4863659.266979196	3102.3630036183813	66805.22308971174	129.46627057590842	50.631507228777934	223658.97215290862	0
Surface 128 m2	4839101.418810342	5030.308379543721	91363.07125856541	132.75847297213699	47.339304832549374	214426.06740407157	0
Surface 144 m2	4816321.26346726	7727.692793011063	114143.22660164814	136.04420195901648	44.05357584566988	204668.40200488642	0
Surface 160 m2	4795121.207186564	11347.279446758574	135343.28288234398	139.3239683136501	40.773809491036246	194383.98525042942	0
